summary,components,story_points,priority,issuetype,created_year,created_month,num_comments,project,status,created_date,key,created_dayofweek,num_components,resolution_days,assignee,num_labels
Improve CSI service manager to set node ID for managed CSI plugins,,2.0,Major,Task,2020,8,2,Mesos,Resolved,2020-08-12,MESOS-10175,2,0,6.73,Qian Zhang,0
Add secrets support to the CSI volume managers,,5.0,Major,Task,2020,7,2,Mesos,Resolved,2020-07-28,MESOS-10168,1,0,13.31,Greg Mann,1
Add documentation for the `volume/csi` isolator,,2.0,Major,Task,2020,7,2,Mesos,Resolved,2020-07-07,MESOS-10157,1,0,97.75,Qian Zhang,2
Enable the `volume/csi` isolator in UCR,,2.0,Major,Task,2020,7,4,Mesos,Resolved,2020-07-07,MESOS-10156,1,0,41.98,Qian Zhang,0
Implement the `recover` method of the `volume/csi` isolator,,5.0,Major,Task,2020,7,3,Mesos,Resolved,2020-07-07,MESOS-10155,1,0,41.98,Qian Zhang,0
Implement the `cleanup` method of the `volume/csi` isolator,,3.0,Major,Task,2020,7,2,Mesos,Resolved,2020-07-07,MESOS-10154,1,0,41.98,Qian Zhang,0
Implement the `prepare` method of the `volume/csi` isolator,,5.0,Major,Task,2020,7,5,Mesos,Resolved,2020-07-07,MESOS-10153,1,0,41.98,Qian Zhang,0
Implement the `create` method of the `volume/csi` isolator,,3.0,Major,Task,2020,7,2,Mesos,Resolved,2020-07-07,MESOS-10152,1,0,41.98,Qian Zhang,0
Introduce a new agent flag `--csi_plugin_config_dir`,,3.0,Major,Task,2020,7,5,Mesos,Resolved,2020-07-07,MESOS-10151,1,0,26.79,Qian Zhang,0
Refactor CSI volume manager to support pre-provisioned CSI volumes,,5.0,Major,Task,2020,7,4,Mesos,Resolved,2020-07-07,MESOS-10150,1,0,27.43,Greg Mann,0
Improve CSI service manager to support unmanaged CSI plugins,,3.0,Major,Task,2020,7,2,Mesos,Resolved,2020-07-07,MESOS-10149,1,0,26.81,Qian Zhang,0
Update the `CSIPluginInfo` protobuf message for supporting 3rd party CSI plugins,,1.0,Major,Task,2020,7,3,Mesos,Resolved,2020-07-07,MESOS-10148,1,0,27.0,Qian Zhang,0
Introduce a new volume type `CSI` into the `Volume` protobuf message,,1.0,Major,Task,2020,7,2,Mesos,Resolved,2020-07-07,MESOS-10147,1,0,27.0,Qian Zhang,0
CSI External Volumes MVP Design Doc,,8.0,Major,Task,2020,6,1,Mesos,Resolved,2020-06-17,MESOS-10142,2,0,61.5,Qian Zhang,3
CSI External Volume Support,,13.0,Major,Epic,2020,6,0,Mesos,Resolved,2020-06-17,MESOS-10141,2,0,117.27,Qian Zhang,3
Docker volume isolator needs to clean up the `info` struct regardless the result of unmount operation,containerization,3.0,Critical,Bug,2020,5,3,Mesos,Resolved,2020-05-13,MESOS-10126,2,1,14.99,Qian Zhang,0
Authorization for /logging/toggle and  /metrics/snapshot is skipped on Windows.,libprocess,1.0,Major,Bug,2020,4,1,Mesos,Resolved,2020-04-20,MESOS-10120,0,1,0.91,Andrei Sekretenko,1
Update the `usage()` method of containerizer to set resource limits in the `ResourceStatistics` protobuf message,containerization,3.0,Major,Task,2020,4,2,Mesos,Resolved,2020-04-15,MESOS-10117,2,1,19.81,Qian Zhang,0
Add documentation for task resource limits,documentation,2.0,Major,Task,2020,4,2,Mesos,Resolved,2020-04-14,MESOS-10115,1,1,22.76,Greg Mann,0
"After failover, master crashes on re-adding an agent with maintenance schedule set.",allocation,1.0,Blocker,Bug,2020,4,2,Mesos,Resolved,2020-04-03,MESOS-10109,4,1,3.12,Andrei Sekretenko,0
Mesos agent fails to start on outdated systemd.,agent,3.0,Major,Bug,2020,2,2,Mesos,Resolved,2020-02-24,MESOS-10098,0,1,0.18,Andrei Budnik,1
"After HTTP framework disconnects, heartbeater idle-loops instead of being deleted.",master,1.0,Minor,Bug,2020,2,2,Mesos,Resolved,2020-02-13,MESOS-10097,3,1,1.21,Andrei Sekretenko,0
Reactivating a draining agent leaves the agent in draining state.,"agent,master",3.0,Major,Bug,2020,2,2,Mesos,Resolved,2020-02-11,MESOS-10096,1,2,14.81,Benjamin Mahler,0
Agent draining logging makes it hard to tell which tasks did not terminate.,"agent,master",1.0,Major,Improvement,2020,2,2,Mesos,Resolved,2020-02-11,MESOS-10095,1,2,14.81,Benjamin Mahler,0
Master's agent draining VLOG prints incorrect task counts.,master,1.0,Major,Bug,2020,2,2,Mesos,Resolved,2020-02-11,MESOS-10094,1,1,14.87,Benjamin Mahler,0
Detecting whether executor is generated for command task should work when the launcher_dir changes,,3.0,Critical,Bug,2019,12,3,Mesos,Resolved,2019-12-31,MESOS-10084,1,0,23.73,Benjamin Bannier,0
Cgroups isolator: update cleanup logic to support nested cgroups,containerization,5.0,Major,Task,2019,12,1,Mesos,Resolved,2019-12-23,MESOS-10080,0,1,15.17,Andrei Budnik,2
Cgroups isolator: recover nested cgroups,containerization,5.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-23,MESOS-10079,0,1,80.87,Andrei Budnik,2
Cgroups isolator: allow updating and isolating resources for nested cgroups,containerization,3.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-23,MESOS-10077,0,1,80.88,Andrei Budnik,2
Cgroups isolator: create nested cgroups,containerization,3.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-23,MESOS-10076,0,1,80.88,Andrei Budnik,2
Add the `shared_cgroups` field into  the protobuf message `LinuxInfo`,,1.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-20,MESOS-10075,4,0,9.98,Qian Zhang,0
Adapt design for executor domain sockets for agent restarts,,5.0,Major,Task,2019,12,1,Mesos,Resolved,2019-12-18,MESOS-10074,2,0,25.85,Benno Evers,0
Implement SSL downgrade on the native SSL socket,,3.0,Minor,Task,2019,12,4,Mesos,Resolved,2019-12-17,MESOS-10073,1,0,70.71,Joseph Wu,2
Update the `update()` method of cgroups subsystem interface to handle container resource limits,containerization,1.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-06,MESOS-10067,4,1,105.06,Qian Zhang,0
Update the `update()` method of isolator interface to handle container resource limits,containerization,2.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-05,MESOS-10065,3,1,106.25,Qian Zhang,0
"Accommodate the ""Infinity"" value in JSON",stout,3.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-04,MESOS-10064,2,1,106.81,Qian Zhang,0
Update default executor to call `LAUNCH_CONTAINER` to launch nested containers,executor,2.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-03,MESOS-10063,1,1,108.29,Qian Zhang,0
Implement relative path computation for stout,,5.0,Major,Task,2019,12,2,Mesos,Resolved,2019-12-02,MESOS-10062,0,0,36.06,Benjamin Bannier,0
Implement chmod() support for stout,,1.0,Major,Task,2019,12,4,Mesos,Resolved,2019-12-02,MESOS-10061,0,0,41.92,Benno Evers,0
Let the command executor connect through a domain socket when available,,3.0,Major,Task,2019,12,1,Mesos,Resolved,2019-12-02,MESOS-10059,0,0,16.08,Benno Evers,0
Update Docker containerizer to set Docker container's resource limits and `oom_score_adj`,,2.0,Major,Task,2019,11,4,Mesos,Resolved,2019-11-27,MESOS-10054,2,0,159.79,Qian Zhang,0
Update Docker executor to set Docker container's resource limits and `oom_score_adj`,,3.0,Major,Task,2019,11,3,Mesos,Resolved,2019-11-27,MESOS-10053,2,0,113.83,Qian Zhang,0
Update the `LaunchContainer` agent API to support container resource limits,,2.0,Major,Task,2019,11,2,Mesos,Resolved,2019-11-27,MESOS-10051,2,0,113.83,Qian Zhang,0
Update the `update()` method of containerizer to handle container resource limits,,5.0,Major,Task,2019,11,2,Mesos,Resolved,2019-11-27,MESOS-10050,2,0,113.83,Qian Zhang,0
Add a new reason in `TaskStatus::Reason` for the case that a task is OOM-killed due to exceeding its memory request,,1.0,Major,Task,2019,11,4,Mesos,Resolved,2019-11-27,MESOS-10049,2,0,50.57,Greg Mann,0
Update the memory subsystem in the cgroup isolator to set container's memory resource limits and `oom_score_adj`,containerization,5.0,Major,Task,2019,11,4,Mesos,Resolved,2019-11-27,MESOS-10048,2,1,113.83,Qian Zhang,0
Launch executor container with resource limits,,3.0,Major,Task,2019,11,3,Mesos,Resolved,2019-11-27,MESOS-10046,2,0,113.83,Qian Zhang,0
Validate task's resources limits and the `share_cgroups` field,,3.0,Major,Task,2019,11,3,Mesos,Resolved,2019-11-27,MESOS-10045,2,0,114.35,Greg Mann,0
Add a new capability `TASK_RESOURCE_LIMITS` into Mesos agent,,1.0,Major,Task,2019,11,2,Mesos,Resolved,2019-11-27,MESOS-10044,2,0,97.06,Greg Mann,0
Add resource limits into the protobuf message `TaskInfo`,,1.0,Major,Task,2019,11,2,Mesos,Resolved,2019-11-27,MESOS-10043,2,0,32.51,Qian Zhang,0
Libprocess SSL verification can leak memory,libprocess,1.0,Major,Bug,2019,11,2,Mesos,Resolved,2019-11-22,MESOS-10041,4,1,0.16,Benno Evers,2
Implement agent code to listen on a domain socket,agent,5.0,Major,Task,2019,11,2,Mesos,Resolved,2019-11-21,MESOS-10038,3,1,52.68,Benjamin Bannier,0
Implement `enable_http_executor_domain_sockets` agent flag,,5.0,Major,Task,2019,11,2,Mesos,Resolved,2019-11-21,MESOS-10035,3,0,52.69,Benjamin Bannier,0
Design per-task cgroup isolation,,5.0,Major,Task,2019,11,1,Mesos,Resolved,2019-11-20,MESOS-10033,2,0,40.94,Andrei Budnik,1
Agent's 'executorTerminated()' can cause double task status update,,3.0,Major,Bug,2019,11,1,Mesos,Resolved,2019-11-06,MESOS-10031,2,0,28.09,Greg Mann,1
Improve v1 operator API read performance.,HTTP API,13.0,Major,Improvement,2019,11,6,Mesos,Resolved,2019-11-02,MESOS-10026,5,1,31.74,Benjamin Mahler,1
Allocator method dispatches can be reordered (relative to scheduler API calls which triggered them).,,8.0,Major,Bug,2019,10,2,Mesos,Resolved,2019-10-30,MESOS-10023,2,0,124.85,Andrei Sekretenko,1
Duplicate tasks if agent partitioned during maintenance down,,5.0,Major,Bug,2019,10,2,Mesos,Resolved,2019-10-23,MESOS-10018,2,0,9.07,Benjamin Bannier,1
Log all reverse DNS lookup failures in 'legacy' TLS (SSL) hostname validation scheme.,libprocess,1.0,Major,Improvement,2019,10,2,Mesos,Resolved,2019-10-22,MESOS-10017,1,1,0.92,Benjamin Mahler,1
Add a benchmark for HierarchicalAllocatorProcess::updateAllocation() ,,5.0,Major,Improvement,2019,10,2,Mesos,Resolved,2019-10-21,MESOS-10016,0,0,9.44,Meng Zhu,1
updateAllocation() can stall the allocator with a huge number of reservations on an agent.,,5.0,Critical,Bug,2019,10,3,Mesos,Resolved,2019-10-21,MESOS-10015,0,0,9.25,Andrei Sekretenko,1
"Implement an SSL socket for Windows, using OpenSSL directly",libprocess,5.0,Major,Task,2019,10,4,Mesos,Resolved,2019-10-09,MESOS-10010,2,1,69.97,Joseph Wu,1
Implement glue code for the Windows event loop and OpenSSL's basic I/O abstraction,,3.0,Major,Task,2019,10,2,Mesos,Resolved,2019-10-09,MESOS-10009,2,0,69.98,Joseph Wu,1
Very large quota values can crash master.,,3.0,Blocker,Bug,2019,10,5,Mesos,Resolved,2019-10-08,MESOS-10008,1,0,1.17,Benjamin Mahler,1
Command executor can miss exit status for short-lived commands due to double-reaping.,"executor,libprocess",1.0,Major,Bug,2019,10,5,Mesos,Resolved,2019-10-04,MESOS-10007,4,2,19.04,Benjamin Mahler,1
Enable SSL on Windows,,13.0,Major,Epic,2019,10,2,Mesos,Resolved,2019-10-02,MESOS-10004,2,0,182.93,Joseph Wu,1
Design doc for SSL on Windows,libprocess,3.0,Major,Task,2019,10,2,Mesos,Resolved,2019-10-02,MESOS-10003,2,1,36.1,Joseph Wu,1
Design doc for container bursting,"agent,containerization",5.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-02,MESOS-10002,2,2,76.89,Greg Mann,1
Update operator API documentation for re-reservations,,2.0,Major,Task,2019,10,2,Mesos,Resolved,2019-10-01,MESOS-9993,1,0,58.87,Benjamin Bannier,1
Add end-to-end test excercising re-reservation operator API,,3.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9992,1,0,38.08,Benno Evers,1
Update 'Master::authorizeReserveResources' for re-reservations,,5.0,Major,Task,2019,10,2,Mesos,Resolved,2019-10-01,MESOS-9991,1,0,38.08,Benjamin Bannier,1
Consolidate 'Master::authorizeReserveResources' overloads,,1.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9990,1,0,38.1,Benno Evers,1
Update 'Master::Http::_reserve' to pass 'source' into generated operation,,1.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9989,1,0,38.09,Benno Evers,1
Add 'source' field to scheduler reservation API,,1.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9988,1,0,38.1,Benno Evers,1
Update 'Master::Http::_reserve' to also require 'source' resources,,2.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9987,1,0,38.09,Benno Evers,1
Update 'getConsumedResources' and 'getResourceConversions' for 'source' in reservations,,1.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9986,1,0,38.09,Benno Evers,0
Update validation of 'ReserveResources' for 'source',,1.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9985,1,0,38.1,Benno Evers,1
"Provide a function to compute a common ""reservation ancestor"" between two 'Resources'",,2.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9984,1,0,38.1,Benno Evers,1
Intermediate rejection of Reserve operations with source set,,1.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9983,1,0,38.1,Benno Evers,1
Add a 'source' field to operator API ReserveResources protobuf,HTTP API,1.0,Major,Task,2019,10,1,Mesos,Resolved,2019-10-01,MESOS-9982,1,1,38.11,Benno Evers,1
HierarchicalAllocatorTest.MaintenanceInverseOffers is flaky,,1.0,Major,Bug,2019,9,3,Mesos,Resolved,2019-09-30,MESOS-9980,0,0,2.15,Andrei Sekretenko,2
Add docs for FrameworkInfo updates and the UPDATE_FRAMEWORK call.,,1.0,Major,Documentation,2019,9,3,Mesos,Resolved,2019-09-26,MESOS-9979,3,0,223.12,Andrei Sekretenko,1
Nvml isolator cannot be disabled which makes it impossible to exclude non-free code,build,1.0,Major,Bug,2019,9,2,Mesos,Resolved,2019-09-24,MESOS-9978,1,1,110.76,Benjamin Bannier,2
Sorter may leak clients allocations.,allocation,2.0,Major,Bug,2019,9,2,Mesos,Resolved,2019-09-18,MESOS-9975,2,1,4.9,Meng Zhu,1
Update Names for TLS-related environment variables in libprocess.,,5.0,Major,Improvement,2019,9,1,Mesos,Resolved,2019-09-18,MESOS-9972,2,0,2.33,Benno Evers,3
"'dist' and 'distcheck' cmake targets are implemented as shell scripts, so fail on Windows/MSVC.",build,1.0,Trivial,Bug,2019,9,6,Mesos,Resolved,2019-09-18,MESOS-9971,2,1,0.6,Joseph Wu,1
WWWAuthenticate header parsing fails when commas are in (quoted) realm,"HTTP API,libprocess",1.0,Major,Bug,2019,9,4,Mesos,Resolved,2019-09-17,MESOS-9968,1,2,13.2,Benjamin Bannier,0
Agent crashes when trying to destroy orphaned nested container if root container is orphaned as well,containerization,3.0,Critical,Bug,2019,9,9,Mesos,Resolved,2019-09-13,MESOS-9966,4,1,20.01,Qian Zhang,0
agent should not send `TASK_GONE_BY_OPERATOR` if the framework is not partition aware.,agent,1.0,Major,Bug,2019,9,3,Mesos,Resolved,2019-09-12,MESOS-9965,3,1,0.2,Greg Mann,1
Support destroying UCR containers in provisioning state,containerization,8.0,Major,Improvement,2019,9,2,Mesos,Resolved,2019-09-10,MESOS-9964,1,1,37.6,Qian Zhang,1
New CLI is not included in distribution tarball,"build,cli,release",1.0,Major,Bug,2019,9,2,Mesos,Resolved,2019-09-02,MESOS-9958,0,3,14.84,Benjamin Bannier,0
CSI plugins reporting duplicated volumes will crash the agent.,storage,2.0,Blocker,Bug,2019,8,4,Mesos,Resolved,2019-08-29,MESOS-9956,3,1,0.55,Chun-Hung Hsiao,2
ExampleTest.DiskFullFramework is slow,test,1.0,Major,Bug,2019,8,2,Mesos,Resolved,2019-08-22,MESOS-9952,3,1,0.92,Benjamin Bannier,0
Track allocated/offered in the allocator's role tree.,"allocation,master",5.0,Major,Task,2019,8,2,Mesos,Resolved,2019-08-21,MESOS-9949,2,2,46.9,Andrei Sekretenko,1
master::Slave::hasExecutor occupies 37% of a 150 second perf sample.,master,3.0,Major,Improvement,2019,8,3,Mesos,Resolved,2019-08-21,MESOS-9948,2,1,32.84,Benjamin Bannier,2
Java bindings sporadically fail to build,,3.0,Major,Bug,2019,8,2,Mesos,Resolved,2019-08-21,MESOS-9947,2,0,5.99,Benno Evers,2
Standalone container documentation,documentation,3.0,Major,Documentation,2019,8,2,Mesos,Resolved,2019-08-13,MESOS-9938,1,1,26.89,Joseph Wu,2
53598228fe should be backported to 1.7.x,,1.0,Blocker,Bug,2019,8,5,Mesos,Resolved,2019-08-13,MESOS-9937,1,0,7.51,Greg Mann,1
The agent crashes after the disk du isolator supporting rootfs checks.,containerization,2.0,Blocker,Bug,2019,8,3,Mesos,Resolved,2019-08-12,MESOS-9935,0,1,1.36,James Peach,1
Master does not handle returning unreachable agents as draining/deactivated,master,3.0,Critical,Bug,2019,8,2,Mesos,Resolved,2019-08-12,MESOS-9934,0,1,1.22,Joseph Wu,1
Removal of a role from the suppression list should be equivalent to REVIVE.,"allocation,scheduler api",3.0,Major,Improvement,2019,8,2,Mesos,Resolved,2019-08-09,MESOS-9932,4,2,4.02,Benjamin Mahler,1
DRF sorter may omit clients in sorting after removing an inactive leaf node.,allocation,3.0,Minor,Bug,2019,8,2,Mesos,Resolved,2019-08-08,MESOS-9930,3,1,5.4,Meng Zhu,1
OperationReconciliationTest.FrameworkReconciliationRaceWithUpdateSlaveMessage is severely flaky,,2.0,Major,Bug,2019,8,2,Mesos,Resolved,2019-08-07,MESOS-9928,2,0,21.23,Benno Evers,3
Default executor takes a couple of seconds to start and subscribe Mesos agent,containerization,2.0,Major,Bug,2019,8,3,Mesos,Resolved,2019-08-06,MESOS-9925,1,1,9.79,Qian Zhang,1
MasterQuotaTest.RescindOffersEnforcingLimits is flaky,flaky,1.0,Major,Bug,2019,8,1,Mesos,Resolved,2019-08-02,MESOS-9922,4,1,10.45,Meng Zhu,1
Health check performance decreases on large machines,"agent,containerization",5.0,Major,Task,2019,7,1,Mesos,Resolved,2019-07-31,MESOS-9919,2,2,19.95,Greg Mann,2
Store a role tree in the allocator.,allocation,8.0,Major,Improvement,2019,7,1,Mesos,Resolved,2019-07-31,MESOS-9917,2,1,19.94,Meng Zhu,2
Mesos agent crashes after recovery when there is nested container joins a CNI network,"cni,containerization",2.0,Major,Bug,2019,7,3,Mesos,Resolved,2019-07-28,MESOS-9909,6,2,24.88,Qian Zhang,2
Introduce a new agent flag and support docker volume chown to task user.,containerization,5.0,Major,Improvement,2019,7,2,Mesos,Resolved,2019-07-25,MESOS-9908,3,1,14.02,Gilbert Song,1
Retain agent draining start time in master,master,1.0,Major,Task,2019,7,2,Mesos,Resolved,2019-07-25,MESOS-9907,3,1,6.72,Benjamin Bannier,1
Libprocess tests hangs on arm,libprocess,1.0,Major,Bug,2019,7,2,Mesos,Resolved,2019-07-24,MESOS-9906,2,1,0.91,Tomasz Janiszewski,1
jsonify uses non-standard mapping for protobuf map fields.,json api,3.0,Major,Bug,2019,7,5,Mesos,Resolved,2019-07-23,MESOS-9901,1,1,8.06,Meng Zhu,1
SlaveTest.DrainingAgentRejectLaunch is flaky,,1.0,Major,Bug,2019,7,2,Mesos,Resolved,2019-07-16,MESOS-9895,1,0,1.0,Benjamin Bannier,2
Mesos failed to build due to fatal error C1083 on Windows using MSVC.,build,1.0,Major,Bug,2019,7,1,Mesos,Resolved,2019-07-16,MESOS-9894,1,1,1.54,Joseph Wu,2
`volume/secret` isolator should cleanup the stored secret from runtime directory when the container is destroyed,containerization,3.0,Major,Bug,2019,7,2,Mesos,Resolved,2019-07-16,MESOS-9893,1,1,30.45,Qian Zhang,1
Test various agent state transitions involving agent draining,,5.0,Major,Task,2019,7,3,Mesos,Resolved,2019-07-15,MESOS-9892,0,0,42.03,Joseph Wu,2
/roles and GET_ROLES does not always expose parent roles.,,3.0,Major,Bug,2019,7,2,Mesos,Resolved,2019-07-12,MESOS-9890,4,0,3.17,Benjamin Mahler,1
/roles and GET_ROLES do not expose roles with only static reservations,,3.0,Major,Bug,2019,7,2,Mesos,Resolved,2019-07-11,MESOS-9888,3,0,4.19,Benjamin Mahler,1
Race condition between two terminal task status updates for Docker/Command executor.,"agent,containerization",8.0,Blocker,Bug,2019,7,4,Mesos,Resolved,2019-07-10,MESOS-9887,2,2,46.81,Andrei Budnik,2
RoleTest.RolesEndpointContainsConsumedQuota is flaky.,,1.0,Major,Bug,2019,7,2,Mesos,Resolved,2019-07-10,MESOS-9886,2,0,0.07,Benjamin Mahler,1
Mesos.UpdateFrameworkV0Test.SuppressedRoles is flaky.,flaky,1.0,Major,Bug,2019,7,1,Mesos,Resolved,2019-07-04,MESOS-9882,3,1,4.6,Andrei Sekretenko,1
StorageLocalResourceProviderTest.RetryOperationStatusUpdateAfterRecovery is flaky.,,1.0,Major,Bug,2019,7,2,Mesos,Resolved,2019-07-03,MESOS-9881,2,0,8.92,Chun-Hung Hsiao,2
Enable libprocess users to pass a custom SSL context when using Socket,,5.0,Minor,Improvement,2019,7,2,Mesos,Resolved,2019-07-02,MESOS-9878,1,0,2.83,Benno Evers,1
Mesos did not respond correctly when operations should fail,agent,8.0,Blocker,Bug,2019,7,7,Mesos,Resolved,2019-07-01,MESOS-9875,0,1,54.19,Greg Mann,2
Add environment variable `MESOS_ALLOCATION_ROLE` to the task/container.,containerization,3.0,Major,Task,2019,7,3,Mesos,Resolved,2019-07-01,MESOS-9874,0,1,1.12,Qian Zhang,1
Expose quota consumption in /roles endpoint.,master,3.0,Major,Task,2019,6,2,Mesos,Resolved,2019-06-28,MESOS-9871,4,1,11.26,Benjamin Mahler,1
Simultaneous adding/removal of a role from framework's roles and its suppressed roles crashes the master.,,5.0,Blocker,Bug,2019,6,3,Mesos,Resolved,2019-06-27,MESOS-9870,3,0,6.2,Andrei Sekretenko,1
NetworkInfo from the agent /state endpoint is not correct.,,8.0,Blocker,Bug,2019,6,6,Mesos,Resolved,2019-06-27,MESOS-9868,3,0,40.06,Qian Zhang,1
